id,title,poster,year,type,genre,synopsis,number_of_episodes
f058,Le Loup de Wall Street,nan,2013,Film,Biopic,L’ascension et la chute d’un courtier dévoré par l’excès.,nan
f059,Mad Max: Fury Road,nan,2015,Film,Action,Une course-poursuite désertique s’engage contre un tyran.,nan
f060,The Social Network,nan,2010,Film,Biopic,La création de Facebook et les conflits qui s’ensuivent.,nan
f061,No Country for Old Men,nan,2007,Film,Thriller,Un chasseur trouve de l’argent et attire un tueur implacable.,nan
f062,There Will Be Blood,nan,2007,Film,Drame,L’ambition d’un pétrolier corrompt tout autour de lui.,nan
f063,Old Boy,nan,2003,Film,Thriller,Un homme cherche des réponses après des années de captivité.,nan
f064,La Cité de Dieu,nan,2002,Film,Crime,"Dans les favelas de Rio, des enfants deviennent gangsters.",nan
f065,Le Fabuleux Destin d’Amélie Poulain,nan,2001,Film,Romance,"À Paris, Amélie sème le bonheur autour d’elle.",nan
f066,Le Pianiste,nan,2002,Film,Historique,Un pianiste juif lutte pour survivre dans le ghetto de Varsovie.,nan
f067,Her,nan,2013,Film,Romance,Un homme solitaire tombe amoureux d’un système d’exploitation.,nan
f068,Blade Runner,nan,1982,Film,Science-fiction,Un policier traque des androïdes rebelles dans un futur néon.,nan
f069,Blade Runner 2049,nan,2017,Film,Science-fiction,Un nouveau blade runner découvre un secret menaçant la société.,nan
f070,Dune (2021),nan,2021,Film,Science-fiction,Une maison noble se bat pour l’épice sur une planète désertique.,nan
f071,The Grand Budapest Hotel,nan,2014,Film,Comédie,Un concierge et un lobby boy se retrouvent au cœur d’un casse.,nan
f072,Premier Contact,nan,2016,Film,Science-fiction,Une linguiste tente de communiquer avec des extraterrestres.,nan
f073,2001 : l’Odyssée de l’espace,nan,1968,Film,Science-fiction,Un voyage spatial interroge l’évolution et la conscience.,nan
f074,Orange mécanique,nan,1971,Film,Crime,Un délinquant subit un conditionnement controversé.,nan
f075,Will Hunting,nan,1997,Film,Drame,Un génie des maths affronte son passé et ses peurs.,nan
f076,The Truman Show,nan,1998,Film,Drame,Un homme découvre que sa vie entière est une émission télévisée.,nan
f077,Eternal Sunshine of the Spotless Mind,nan,2004,Film,Romance,Deux ex effacent leurs souvenirs avant de douter de leur choix.,nan
f078,The Big Lebowski,nan,1998,Film,Comédie,Le Duc se retrouve mêlé à un enlèvement et à un tapis litigieux.,nan
f079,Gatsby le Magnifique,nan,2013,Film,Drame,Un millionnaire mystérieux poursuit un amour perdu à l’ère du jazz.,nan
f080,Joker,nan,2019,Film,Drame,La descente d’un marginal qui devient le célèbre criminel de Gotham.,nan
f081,Batman Begins,nan,2005,Film,Action,Bruce Wayne devient le Chevalier noir pour combattre le crime.,nan
f082,Heat,nan,1995,Film,Crime,Un braqueur de génie affronte un flic tenace à Los Angeles.,nan
f083,Rocky,nan,1976,Film,Sport,Un boxeur outsider obtient une chance pour le titre mondial.,nan
f084,Raging Bull,nan,1980,Film,Biopic,La vie tourmentée du boxeur Jake LaMotta.,nan
f085,L’Exorciste,nan,1973,Film,Horreur,Des prêtres tentent de sauver une fillette possédée.,nan
f086,Les Dents de la mer,nan,1975,Film,Thriller,Une station balnéaire traque un grand requin blanc.,nan
f087,Shining,nan,1980,Film,Horreur,La folie gagne le gardien d’un hôtel isolé et hanté.,nan
f088,Vol au-dessus d’un nid de coucou,nan,1975,Film,Drame,Un patient rebelle défie une infirmière tyrannique.,nan
f089,Les Indestructibles,nan,2004,Film,Animation,Une famille de super-héros reprend du service.,nan
f090,Ratatouille,nan,2007,Film,Animation,"À Paris, un rat rêve de devenir chef cuisinier.",nan
f091,Monstres & Cie,nan,2001,Film,Animation,Des monstres découvrent que le rire surpasse les cris.,nan
f092,Shrek,nan,2001,Film,Animation,Un ogre part sauver une princesse avec un âne bavard.,nan
f093,The Breakfast Club,nan,1985,Film,Comédie,Cinq lycéens tissent des liens pendant une colle.,nan
f094,Stand by Me,nan,1986,Film,Drame,Des amis partent à la recherche du corps d’un garçon disparu.,nan
f095,Piège de cristal,nan,1988,Film,Action,Un flic affronte des terroristes dans une tour de L.A.,nan
f096,Mission: Impossible – Fallout,nan,2018,Film,Action,Ethan Hunt tente d’éviter une catastrophe mondiale.,nan
f097,Skyfall,nan,2012,Film,Action,Bond affronte un ennemi lié au passé de M.,nan
f098,Casino Royale,nan,2006,Film,Action,Bond obtient son statut 00 et affronte un financier machiavélique.,nan
f099,Les Gardiens de la Galaxie,nan,2014,Film,Action,Une équipe improbable sauve la galaxie en musique.,nan
f100,Spider-Man : New Generation,nan,2018,Film,Animation,Plusieurs Spider-Men s’allient à travers les dimensions.,nan
s001,Game of Thrones,nan,2011,Série,Fantasy,"Des maisons nobles se disputent le pouvoir, tandis qu’une menace surgit au nord.",73
s002,Breaking Bad,nan,2008,Série,Crime,Un prof de chimie fabrique de la méthamphétamine pour assurer l’avenir des siens.,62
s003,Better Call Saul,nan,2015,Série,Crime,Jimmy McGill devient peu à peu l’avocat Saul Goodman.,63
s004,Les Soprano,nan,1999,Série,Crime,Un parrain du New Jersey jongle entre famille et affaires sanglantes.,86
s005,Sur écoute,nan,2002,Série,Crime,Les institutions de Baltimore vues par policiers et criminels.,60
s006,Friends,nan,1994,Série,Comédie,Six amis vivent amours et galères à New York.,12
s007,The Office (US),nan,2005,Série,Comédie,Mockumentaire sur les employés de Dunder Mifflin.,20
s008,Stranger Things,nan,2016,Série,Science-fiction,Des enfants affrontent des forces surnaturelles et un laboratoire secret.,34
s009,The Crown,nan,2016,Série,Drame,Le règne d’Élisabeth II au fil des décennies.,55
s010,The Mandalorian,nan,2019,Série,Science-fiction,Un chasseur de primes protège un enfant mystérieux.,24
s011,The Last of Us,nan,2023,Série,Drame,Un contrebandier escorte une adolescente immunisée à travers l’Amérique.,9
s012,House of the Dragon,nan,2022,Série,Fantasy,"La guerre civile Targaryen, près de 200 ans avant GoT.",10
s013,Westworld,nan,2016,Série,Science-fiction,Un parc d’androïdes devient le théâtre d’une révolte.,36
s014,True Detective,nan,2014,Série,Crime,Anthologie d’enquêtes sombres menées par des détectives tourmentés.,30
s015,Sherlock,nan,2010,Série,Crime,Sherlock Holmes et le Dr Watson à l’ère moderne.,12
s016,Black Mirror,nan,2011,Série,Science-fiction,Anthologie sur les dérives de la technologie.,26
s017,Narcos,nan,2015,Série,Crime,Ascension et chute des barons de la drogue en Colombie.,30
s018,La Casa de Papel,nan,2017,Série,Crime,Un cerveau orchestre des braquages contre les institutions espagnoles.,49
s019,Dark,nan,2017,Série,Mystère,Une disparition révèle des liens temporels entre quatre familles.,2
s020,The Witcher,nan,2019,Série,Fantasy,"Un sorceleur affronte monstres, politique et destin.",13
s021,The Boys,nan,2019,Série,Action,Des justiciers s’attaquent à des super-héros corrompus par une multinationale.,7
s022,The Umbrella Academy,nan,2019,Série,Fantasy,Des frères et sœurs dotés de pouvoirs tentent d’empêcher l’apocalypse.,32
s023,Loki,nan,2021,Série,Science-fiction,Le dieu de la malice affronte le TVA et des lignes temporelles instables.,12
s024,WandaVision,nan,2021,Série,Science-fiction,Une Avenger en deuil façonne une étrange sitcom de banlieue.,9
s025,Daredevil,nan,2015,Série,Action,Un avocat aveugle combat le crime à Hell’s Kitchen.,1
s026,Jessica Jones,nan,2015,Série,Drame,Une détective surpuissante affronte ses traumatismes.,39
s027,The Punisher,nan,2017,Série,Action,Un justicier cherche la vérité sur le meurtre de sa famille.,26
s028,Le Jeu de la dame,nan,2020,Série,Drame,Une prodige défie un milieu masculin pour régner aux échecs.,7
s029,Chernobyl,nan,2019,Série,Historique,La catastrophe nucléaire de 1986 et ses conséquences humaines.,12
s030,Frères d’armes,nan,2001,Série,Guerre,La Easy Company pendant la Seconde Guerre mondiale.,10
s031,The Pacific,nan,2010,Série,Guerre,Des Marines combattent sur le théâtre du Pacifique.,10
s032,Lost : Les Disparus,nan,2004,Série,Mystère,Des survivants de crash dévoilent les secrets d’une île.,121
s033,Prison Break,nan,2005,Série,Thriller,Un homme échafaude une évasion pour sauver son frère.,88
s034,The Walking Dead,nan,2010,Série,Horreur,Des survivants affrontent un monde ravagé par les zombies.,177
s035,Fargo,nan,2014,Série,Crime,Anthologie de crimes absurdes dans le Midwest.,51
s036,Succession,nan,2018,Série,Drame,Un empire médiatique s’entredéchire pour le pouvoir.,39
s037,Severance,nan,2022,Série,Science-fiction,Des employés séparent souvenirs professionnels et personnels.,9
s038,Mad Men,nan,2007,Série,Drame,Des publicitaires font face au changement dans les années 1960.,92
s039,The Handmaid’s Tale,nan,2017,Série,Drame,Une femme résiste à une théocratie qui asservit les femmes.,56
s040,The Bear,nan,2022,Série,Drame,Un chef reprend la sandwicherie familiale et affronte le chaos.,0
s041,Fleabag,nan,2016,Série,Comédie,Une Londonienne caustique cherche un sens à sa vie.,12
s042,Peaky Blinders,nan,2013,Série,Crime,Un gang impitoyable s’élève dans le Birmingham d’après-guerre.,36
s043,Vikings,nan,2013,Série,Historique,Ragnar Lothbrok part en quête de gloire sur les mers.,3
s044,The Leftovers,nan,2014,Série,Drame,La vie après la disparition inexpliquée de 2 % de l’humanité.,28
s045,Mr. Robot,nan,2015,Série,Thriller,Un hacker lutte contre ses démons et le contrôle des corporations.,45
s046,Homeland,nan,2011,Série,Thriller,Une agente de la CIA soupçonne un otage d’avoir basculé.,50
s047,House of Cards,nan,2013,Série,Drame,Des politiciens ambitieux gravissent les échelons à Washington.,4
s048,Ozark,nan,2017,Série,Crime,Une famille blanchit de l’argent pour un cartel dans les Ozarks.,44
s049,Mindhunter,nan,2017,Série,Crime,Des agents profilent des tueurs en série pour comprendre leurs méthodes.,19
s050,À la Maison-Blanche,nan,1999,Série,Drame,Dans les coulisses d’une administration présidentielle.,155
s051,Parks and Recreation,nan,2009,Série,Comédie,Des agents publics gèrent des projets dans une petite ville.,125
s052,Brooklyn Nine-Nine,nan,2013,Série,Comédie,Un détective farfelu résout des affaires avec son équipe.,152
s053,How I Met Your Mother,nan,2005,Série,Comédie,Un père raconte la longue histoire de sa rencontre avec la mère.,40
s054,The Big Bang Theory,nan,2007,Série,Comédie,Des colocataires geeks naviguent entre science et amour.,279
s055,Modern Family,nan,2009,Série,Comédie,"Mockumentaire sur une famille de Los Angeles, diverse et attachante.",33
s056,Ted Lasso,nan,2020,Série,Comédie,Un coach américain dirige une équipe de foot anglaise.,34
s057,The Good Place,nan,2016,Série,Comédie,Une femme explore l’au-delà et la morale avec humour.,50
s058,Better Things,nan,2016,Série,Comédie,Une mère célibataire jongle entre carrière d’actrice et enfants.,52
s059,Atlanta,nan,2016,Série,Comédie,Deux cousins tentent de percer dans la scène rap d’Atlanta.,41
s060,Barry,nan,2018,Série,Comédie,Un tueur à gages rêve de devenir acteur.,32
s061,True Blood,nan,2008,Série,Fantasy,Les vampires vivent au grand jour parmi les humains.,80
s062,Six Feet Under,nan,2001,Série,Drame,Une famille dirige un funérarium et fait face à la mort.,63
s063,Rome,nan,2005,Série,Historique,Deux soldats assistent à la chute de la République romaine.,22
s064,Boardwalk Empire,nan,2010,Série,Crime,Un magnat d’Atlantic City règne durant la Prohibition.,56
s065,Sons of Anarchy,nan,2008,Série,Crime,Un club de bikers balance entre crime et famille.,92
s066,X-Files : Aux frontières du réel,nan,1993,Série,Science-fiction,Deux agents enquêtent sur le paranormal et les complots.,202
s067,Doctor Who,nan,2005,Série,Science-fiction,Un extraterrestre voyage dans le temps avec ses compagnons.,694
s068,Star Trek : La Nouvelle Génération,nan,1987,Série,Science-fiction,Le capitaine Picard explore la galaxie à bord de l’Enterprise.,178
s069,Star Trek : Picard,nan,2020,Série,Science-fiction,Jean-Luc Picard reprend du service pour de nouvelles missions.,30
s070,Star Trek : Discovery,nan,2017,Série,Science-fiction,Une officier de Starfleet se retrouve au centre d’événements galactiques.,56
s071,Battlestar Galactica,nan,2004,Série,Science-fiction,L’humanité fuit les Cylons à la recherche de la Terre.,22
s072,The Expanse,nan,2015,Série,Science-fiction,Un complot menace la fragile paix du système solaire.,62
s073,Firefly,nan,2002,Série,Science-fiction,Un équipage hétéroclite survit aux marges de l’espace.,17
s074,Fringe,nan,2008,Série,Science-fiction,Des agents explorent la science de l’extrême et les univers parallèles.,100
s075,Hannibal,nan,2013,Série,Thriller,Un profiler s’allie à un psychiatre brillant… et monstrueux.,39
s076,Dexter,nan,2006,Série,Crime,Un expert médico-légal mène une double vie de tueur.,96
s077,Supernatural,nan,2005,Série,Fantasy,"Deux frères chassent monstres, démons et dieux.",8
s078,Arrow,nan,2012,Série,Action,Un milliardaire combat le crime armé d’un arc.,170
s079,The Flash,nan,2014,Série,Action,Un scientifique devient l’homme le plus rapide du monde.,22
s080,Smallville,nan,2001,Série,Drame,Clark Kent avance vers son destin avant Superman.,216
s081,Dr House,nan,2004,Série,Drame,Un médecin brillant et abrasif résout des cas mystérieux.,177
s082,Grey’s Anatomy,nan,2005,Série,Drame,Des chirurgiens jonglent entre bloc opératoire et vies privées.,419
s083,Urgences,nan,1994,Série,Drame,Le quotidien effréné du personnel d’un hôpital de Chicago.,2
s084,Scrubs,nan,2001,Série,Comédie,De jeunes médecins apprennent la vie à Sacred Heart.,182
s085,24 heures chrono,nan,2001,Série,Thriller,Jack Bauer lutte contre la montre pour déjouer des menaces.,24
s086,Les Experts (CSI),nan,2000,Série,Crime,Des experts médico-légaux résolvent des affaires à Las Vegas.,337
s087,NCIS : Enquêtes spéciales,nan,2003,Série,Crime,Une équipe enquête sur des crimes touchant la Navy et les Marines.,487
s088,"New York, unité spéciale",nan,1999,Série,Crime,Des inspecteurs traitent des affaires délicates d’agressions sexuelles.,573
s089,Top Gear,nan,2002,Série,Télé-réalité,"Voitures, défis et humour avec des animateurs charismatiques.",72
s090,Planète Terre,nan,2006,Série,Documentaire,Une exploration des merveilles naturelles de la planète.,11
s091,Planète bleue,nan,2001,Série,Documentaire,Les secrets et la beauté des océans du monde.,8
s092,Cosmos : Une odyssée à travers l’univers,nan,2014,Série,Documentaire,Un voyage à travers l’univers et les découvertes humaines.,13
s093,Rick et Morty,nan,2013,Série,Animation,Un savant fou entraîne son petit-fils dans des aventures cosmiques.,81
s094,BoJack Horseman,nan,2014,Série,Animation,Une ex-star de sitcom affronte la célébrité et l’autodestruction.,76
s095,"Avatar, le dernier maître de l’air",nan,2005,Série,Animation,Un jeune Avatar doit maîtriser les éléments pour rétablir la paix.,61
s096,La Légende de Korra,nan,2012,Série,Animation,La nouvelle Avatar affronte des crises politiques et spirituelles.,52
s097,Fullmetal Alchemist: Brotherhood,nan,2009,Série,Animation,Deux frères cherchent la Pierre philosophale après un drame.,64
s098,Death Note,nan,2006,Série,Animation,Un lycéen découvre un carnet capable de tuer.,37
s099,L’Attaque des Titans,nan,2013,Série,Animation,L’humanité lutte contre des géants derrière d’immenses murs.,87
s100,One Piece,nan,1999,Série,Animation,Un équipage de pirates cherche le légendaire trésor One Piece.,1080
